[FLOATING(depth-matched)] Epoch 022/300 | train_loss=1.3355 train_acc~=72.92% | val_loss=2.1642 val_acc=19.87% | best=19.87%@22 | elapsed=4.6m
[FLOATING(depth-matched)] Epoch 023/300 | train_loss=1.2332 train_acc~=75.64% | val_loss=2.1516 val_acc=21.09% | best=21.09%@23 | elapsed=4.7m
[FLOATING(depth-matched)] Epoch 024/300 | train_loss=1.2968 train_acc~=76.75% | val_loss=2.1387 val_acc=22.75% | best=22.75%@24 | elapsed=4.9m
[FLOATING(depth-matched)] Epoch 025/300 | train_loss=1.2494 train_acc~=76.26% | val_loss=2.1252 val_acc=24.67% | best=24.67%@25 | elapsed=5.1m
[FLOATING(depth-matched)] Epoch 026/300 | train_loss=1.2485 train_acc~=76.03% | val_loss=2.1112 val_acc=26.82% | best=26.82%@26 | elapsed=5.2m
[FLOATING(depth-matched)] Epoch 027/300 | train_loss=1.2579 train_acc~=75.51% | val_loss=2.0964 val_acc=29.06% | best=29.06%@27 | elapsed=5.4m
[FLOATING(depth-matched)] Epoch 028/300 | train_loss=1.2421 train_acc~=77.07% | val_loss=2.0811 val_acc=31.21% | best=31.21%@28 | elapsed=5.6m
[FLOATING(depth-matched)] Epoch 029/300 | train_loss=1.3103 train_acc~=75.51% | val_loss=2.0657 val_acc=33.51% | best=33.51%@29 | elapsed=5.7m
[FLOATING(depth-matched)] Epoch 030/300 | train_loss=1.2141 train_acc~=77.73% | val_loss=2.0486 val_acc=35.81% | best=35.81%@30 | elapsed=5.9m
[FLOATING(depth-matched)] Epoch 031/300 | train_loss=1.2717 train_acc~=77.51% | val_loss=2.0318 val_acc=37.97% | best=37.97%@31 | elapsed=6.1m
[FLOATING(depth-matched)] Epoch 032/300 | train_loss=1.2433 train_acc~=77.85% | val_loss=2.0140 val_acc=40.18% | best=40.18%@32 | elapsed=6.2m
[FLOATING(depth-matched)] Epoch 033/300 | train_loss=1.1417 train_acc~=81.42% | val_loss=1.9956 val_acc=42.49% | best=42.49%@33 | elapsed=6.4m
[FLOATING(depth-matched)] Epoch 034/300 | train_loss=1.2369 train_acc~=78.37% | val_loss=1.9766 val_acc=44.41% | best=44.41%@34 | elapsed=6.6m
[FLOATING(depth-matched)] Epoch 035/300 | train_loss=1.2576 train_acc~=76.63% | val_loss=1.9571 val_acc=46.58% | best=46.58%@35 | elapsed=6.7m
[FLOATING(depth-matched)] Epoch 036/300 | train_loss=1.2372 train_acc~=78.80% | val_loss=1.9371 val_acc=48.31% | best=48.31%@36 | elapsed=6.9m
[FLOATING(depth-matched)] Epoch 037/300 | train_loss=1.1690 train_acc~=80.15% | val_loss=1.9162 val_acc=50.55% | best=50.55%@37 | elapsed=7.1m
[FLOATING(depth-matched)] Epoch 038/300 | train_loss=1.1953 train_acc~=78.94% | val_loss=1.8949 val_acc=52.57% | best=52.57%@38 | elapsed=7.2m
[FLOATING(depth-matched)] Epoch 039/300 | train_loss=1.2204 train_acc~=77.43% | val_loss=1.8730 val_acc=54.57% | best=54.57%@39 | elapsed=7.4m
[FLOATING(depth-matched)] Epoch 040/300 | train_loss=1.2671 train_acc~=77.39% | val_loss=1.8500 val_acc=56.31% | best=56.31%@40 | elapsed=7.6m
[FLOATING(depth-matched)] Epoch 041/300 | train_loss=1.2515 train_acc~=77.20% | val_loss=1.8275 val_acc=58.06% | best=58.06%@41 | elapsed=7.7m
[FLOATING(depth-matched)] Epoch 042/300 | train_loss=1.2352 train_acc~=78.04% | val_loss=1.8036 val_acc=59.65% | best=59.65%@42 | elapsed=7.9m
[FLOATING(depth-matched)] Epoch 043/300 | train_loss=1.2095 train_acc~=79.81% | val_loss=1.7803 val_acc=61.05% | best=61.05%@43 | elapsed=8.1m
[FLOATING(depth-matched)] Epoch 044/300 | train_loss=1.2033 train_acc~=79.07% | val_loss=1.7560 val_acc=62.22% | best=62.22%@44 | elapsed=8.2m
[FLOATING(depth-matched)] Epoch 045/300 | train_loss=1.1953 train_acc~=80.77% | val_loss=1.7315 val_acc=63.74% | best=63.74%@45 | elapsed=8.4m
[FLOATING(depth-matched)] Epoch 046/300 | train_loss=1.1696 train_acc~=80.93% | val_loss=1.7057 val_acc=65.26% | best=65.26%@46 | elapsed=8.5m
[FLOATING(depth-matched)] Epoch 047/300 | train_loss=1.1629 train_acc~=79.43% | val_loss=1.6804 val_acc=66.74% | best=66.74%@47 | elapsed=8.7m
[FLOATING(depth-matched)] Epoch 048/300 | train_loss=1.1650 train_acc~=80.28% | val_loss=1.6533 val_acc=68.01% | best=68.01%@48 | elapsed=8.9m
[FLOATING(depth-matched)] Epoch 049/300 | train_loss=1.2689 train_acc~=76.95% | val_loss=1.6266 val_acc=69.57% | best=69.57%@49 | elapsed=9.0m
[FLOATING(depth-matched)] Epoch 050/300 | train_loss=1.2049 train_acc~=79.06% | val_loss=1.6005 val_acc=70.68% | best=70.68%@50 | elapsed=9.2m
[FLOATING(depth-matched)] Epoch 051/300 | train_loss=1.1869 train_acc~=82.09% | val_loss=1.5745 val_acc=72.01% | best=72.01%@51 | elapsed=9.4m
[FLOATING(depth-matched)] Epoch 052/300 | train_loss=1.2460 train_acc~=77.68% | val_loss=1.5477 val_acc=73.10% | best=73.10%@52 | elapsed=9.5m
[FLOATING(depth-matched)] Epoch 053/300 | train_loss=1.2049 train_acc~=80.40% | val_loss=1.5210 val_acc=74.15% | best=74.15%@53 | elapsed=9.7m
[FLOATING(depth-matched)] Epoch 054/300 | train_loss=1.1290 train_acc~=81.75% | val_loss=1.4953 val_acc=75.05% | best=75.05%@54 | elapsed=9.9m
[FLOATING(depth-matched)] Epoch 055/300 | train_loss=1.1169 train_acc~=82.51% | val_loss=1.4679 val_acc=75.95% | best=75.95%@55 | elapsed=10.0m
[FLOATING(depth-matched)] Epoch 056/300 | train_loss=1.1675 train_acc~=81.20% | val_loss=1.4422 val_acc=76.82% | best=76.82%@56 | elapsed=10.2m
[FLOATING(depth-matched)] Epoch 057/300 | train_loss=1.2284 train_acc~=78.03% | val_loss=1.4152 val_acc=77.56% | best=77.56%@57 | elapsed=10.4m
[FLOATING(depth-matched)] Epoch 058/300 | train_loss=1.1640 train_acc~=81.72% | val_loss=1.3886 val_acc=78.24% | best=78.24%@58 | elapsed=10.5m
[FLOATING(depth-matched)] Epoch 059/300 | train_loss=1.1847 train_acc~=78.95% | val_loss=1.3630 val_acc=78.98% | best=78.98%@59 | elapsed=10.7m
[FLOATING(depth-matched)] Epoch 060/300 | train_loss=1.1631 train_acc~=81.11% | val_loss=1.3372 val_acc=79.61% | best=79.61%@60 | elapsed=10.9m
[FLOATING(depth-matched)] Epoch 061/300 | train_loss=1.1681 train_acc~=81.02% | val_loss=1.3124 val_acc=80.47% | best=80.47%@61 | elapsed=11.0m
[FLOATING(depth-matched)] Epoch 062/300 | train_loss=1.1878 train_acc~=80.19% | val_loss=1.2868 val_acc=81.09% | best=81.09%@62 | elapsed=11.2m
[FLOATING(depth-matched)] Epoch 063/300 | train_loss=1.1688 train_acc~=81.22% | val_loss=1.2606 val_acc=81.62% | best=81.62%@63 | elapsed=11.4m
[FLOATING(depth-matched)] Epoch 064/300 | train_loss=1.2451 train_acc~=78.87% | val_loss=1.2371 val_acc=82.22% | best=82.22%@64 | elapsed=11.5m
[FLOATING(depth-matched)] Epoch 065/300 | train_loss=1.1351 train_acc~=80.83% | val_loss=1.2130 val_acc=82.86% | best=82.86%@65 | elapsed=11.7m
[FLOATING(depth-matched)] Epoch 066/300 | train_loss=1.0964 train_acc~=82.91% | val_loss=1.1892 val_acc=83.40% | best=83.40%@66 | elapsed=11.9m
[FLOATING(depth-matched)] Epoch 067/300 | train_loss=1.1445 train_acc~=79.64% | val_loss=1.1649 val_acc=83.90% | best=83.90%@67 | elapsed=12.0m
[FLOATING(depth-matched)] Epoch 068/300 | train_loss=1.1510 train_acc~=81.61% | val_loss=1.1415 val_acc=84.37% | best=84.37%@68 | elapsed=12.2m
[FLOATING(depth-matched)] Epoch 069/300 | train_loss=1.0887 train_acc~=83.79% | val_loss=1.1194 val_acc=84.62% | best=84.62%@69 | elapsed=12.3m
[FLOATING(depth-matched)] Epoch 070/300 | train_loss=1.0955 train_acc~=84.30% | val_loss=1.0972 val_acc=84.94% | best=84.94%@70 | elapsed=12.5m
[FLOATING(depth-matched)] Epoch 071/300 | train_loss=1.1306 train_acc~=81.77% | val_loss=1.0750 val_acc=85.31% | best=85.31%@71 | elapsed=12.7m
[FLOATING(depth-matched)] Epoch 072/300 | train_loss=1.1941 train_acc~=79.74% | val_loss=1.0535 val_acc=85.63% | best=85.63%@72 | elapsed=12.8m
[FLOATING(depth-matched)] Epoch 073/300 | train_loss=1.2055 train_acc~=79.85% | val_loss=1.0322 val_acc=86.09% | best=86.09%@73 | elapsed=13.0m
[FLOATING(depth-matched)] Epoch 074/300 | train_loss=1.1525 train_acc~=81.04% | val_loss=1.0117 val_acc=86.50% | best=86.50%@74 | elapsed=13.2m
